annee;confiance;no_confiance;con_municipal;depart;region;ue;president;assemblee_nat;gouvernement
2026;22;78;58;49;46;29;22;20;17
2025;26;74;58;50;49;32;26;24;23
2024;30;70;59;51;49;37;31;29;28
2023;27;72;53;48;45;35;30;28;26
2022;31;68;63;56;54;41;38;38;35
2021;20;77;64;56;56;42;37;38;35
2020;19;79;60;50;49;36;30;31;27
2019;17;81;54;43;41;28;23;23;22
2018;22;76;53;43;41;32;33;29;30
2017;18;81;64;56;54;38;34;42;28
2016;17;82;65;55;55;38;35;41;29
2015;;;66;53;54;37;29;39;23
2014;;;62;48;50;32;31;36;25
source;CEVIPOF;barometre de confiance;;;;;;;
