annee;t;sujet;type;intensite;memorisation;comprehension;utilite;incitation;autre
2025;;Nutri-score;communication;1;65;94;90;81;
2016;;arret tabac;campagne mois sans tabac;2;;;;2,9;
2017;;arret tabac;campagne mois sans tabac;2;;;;2,9;
2018;;arret tabac;campagne mois sans tabac;4;;;;4,8;
2019;;arret tabac;campagne mois sans tabac;4;;;;4,3;
2019;0;alcool;campagne comm;1;1;1,32;1,21;1,1;
2019;1;alcool;campagne comm;1;1,37;1,12;;;
2019;2;alcool;campagne comm;1;1,2;;;;
2022;;lombalgie;campagne comm;1;29,2;;81;80,6;
2022;;sante mentale;campagne comm;1;69;94;88;45;+144 % de visites sur psycom
